call,discharge,Fs,Foil,Fg,pressure,Fw,yield,max_conc
51,0.9,1.0272495513429964,1.0828771378776803,1.1,0.9726727211661421,1.1,1661.080736114801,14.346679532388164
52,0.9722774228644688,0.9067665333849205,1.066065253458839,1.045532236224712,0.9620229551301327,0.9546700312366538,1619.7336896207025,15.15126036622692
53,1.0365327461283997,0.9,1.0536311354219667,1.0463481291524896,0.9692382402533148,0.9917898391165342,1568.8894868700834,14.727464970829674
54,0.9142660850307307,0.9,1.071272585625293,1.0479742568849655,0.9248851832139101,0.9714081454796537,1477.6139863195629,13.488826281473392
55,0.9,1.0954273456781587,1.1,0.945913077724715,0.9,0.9386864982076716,1227.4379878272136,10.990672324377497
56,0.9535582799165163,1.0089448893133464,1.1,1.0999529815658888,0.9,1.1,1841.7040638910896,16.12333418603871
57,0.94507901212309,1.0898137232528111,1.1,1.0975446633049717,0.9,1.0407315798437495,1496.7506777888625,12.969505302905135
58,1.0357590349781858,1.0283950458778182,1.0972334520437945,1.1,1.0177627154315505,1.1,1446.2588595679604,12.939665311041663
59,0.9803207619119751,1.0233212964522063,0.9,1.0443364427259374,1.0526575071367785,0.9536603644155368,1465.010326500966,13.707559883082515
60,0.9651187867222475,0.9046102054474565,1.061084953541036,1.0459658925787425,1.0598801997624536,0.9663321839742066,1607.5283802529495,14.925235625904271
61,0.9657130764216735,1.0920245353223585,1.1,1.0089617868498242,1.0770062439363086,0.9317096958064899,1644.5207416951923,14.53309130602085
62,0.9702024135799939,0.9,1.020893930441785,1.047428148975483,1.0035890557184657,0.9803710919249496,1755.1495633834065,16.25396788190287
63,0.9731519245059095,0.9464950474988362,0.9139618739800095,1.1,0.9,1.1,1728.213473111415,15.850091246302473
64,0.9395002322198914,0.9,0.9143876635837241,1.0437241492334495,1.0430162723307634,0.9810476840483668,1297.4074729375357,11.94369868137714
65,0.9376449212032639,0.996447460643335,1.0404997866505235,1.0464425273261486,1.0067830856036086,0.9937382973918782,1358.9788043724732,11.961277096483071
66,0.9588323883932238,1.0327329826959764,1.0181951301427608,1.0996504000152778,0.9263705939392238,1.094850403314489,1699.998798513609,15.295970466647766
67,0.9535883116284355,0.9661667049247151,1.1,1.054328591504551,1.025343071520201,0.9016264866743736,1558.4042576092058,14.46826191883951
68,0.9792282354649151,0.9191550119857889,1.1,1.0131035431448965,0.9312108533768736,0.9993348054070951,1521.248559068019,14.17998831294677
69,1.0551149151942163,1.0247940319568674,1.1,1.059550688546385,1.1,0.9476962680707929,1618.5306459666945,14.961725308485954
70,1.0874017148469215,1.0435778159983349,1.1,1.0507374326761014,1.044204706316196,1.0855287485811849,1729.0945626447335,14.988011367167802
71,0.9523307083759217,0.9,1.0411989535378885,1.0476942494861363,1.0233204238568365,0.9718025186338133,1519.746770540603,14.173710109158176
72,0.9091093746976018,1.098873434776018,0.9,1.0434313847753933,0.9,0.906877081116861,1520.0527487879654,14.166543541412135
73,0.9099043637997255,1.0634409866395276,0.9,0.9,1.1,1.0757999857838312,1181.8597617356013,10.532044889589367
74,0.9309076558250988,0.9043720607904372,1.0971063126945264,1.0531906389435117,0.9056714903768234,0.9812740658104199,2012.6570952829081,18.660519226055786
75,1.040170636634209,0.9462798341525664,1.0973412481234592,1.046658268994347,0.9034361682063943,0.98442785908085,1803.489827413879,16.619932330647856
76,0.9286337249176625,0.9040913855731024,1.0986124534361772,0.9025263370205059,0.9027645313255793,1.0725774625092979,1388.9454041825895,12.103716336913998
77,1.0969665958549324,0.9203096509136868,1.0969026988713602,1.02584455932834,0.9026901510104353,1.005627017357826,1474.8238632582245,13.554218825727713
78,1.0872502603590075,0.9733757675400361,0.9089254827181477,1.0392113924986037,0.902632558266067,0.9624186480156319,1626.3709105184105,15.336263475170355
79,0.9881719321715488,0.913992666633118,1.0898312214162051,0.9014039268247714,1.099698446830911,0.9895605170797469,1073.2262266371845,10.72965632177077
80,1.0851239796663632,1.0731020371950306,1.0968361690986153,1.065296028272827,0.9004224365586436,1.0416238737159824,1695.6954089539117,15.292439120406836
81,0.9999128864820465,1.0134631900259639,0.9007616919196603,1.0528238780479031,0.900409974719705,1.0319982230234577,1571.8505383369736,14.12192880873198
82,1.0244622328578417,1.001816080760989,1.0988495345730085,1.0211487716103642,0.9026709017277468,0.9378702646315915,1648.783686713101,15.142374671437006
83,0.9987982707782305,0.9002566596556004,1.0942097616114017,1.0464437966172988,0.9007203924114591,0.9635544874508455,1691.8928023763879,15.86245986647772
84,0.9074231273211872,0.9560488918304245,0.9008782318379723,0.9952912400699098,0.9009989375437485,1.0296367769766035,1311.9364520486165,11.643344554013682
85,1.0100556435686985,0.995239087334966,1.0955634955271871,0.9013644896511034,0.9015606135684527,0.9666801691927217,1207.7821841575312,11.032129540444158
86,1.0067249621516112,1.0763197548415486,1.0983598250129947,1.0687664346974737,0.9000731392457798,1.0037229531229073,1749.3383871796716,15.564179288924155
87,0.9729695822626394,1.0219330824706436,1.0996394686778708,1.0999185461349494,0.9000302594635489,1.0126130359512928,1827.643347806017,16.418338280954924
88,0.9367845196809917,0.9902621716489138,1.0931597441710486,1.0988564327849106,1.098790817754977,0.9549880825711811,1669.6882651243698,15.120558926128611
89,1.0501989888211631,1.070134246990824,1.0952401027818,1.095072382970173,0.9032689377994157,0.9030405322535937,1679.1551743785008,15.317634702657386
90,0.9426291145121692,0.9395234973560046,1.099704674971866,1.0490530444971315,0.9023400878791745,1.0083975621070835,1689.2156694634334,15.499949144140006
91,0.9587594688692742,0.9232906231162623,0.9019727441090593,1.098409880298421,0.9008805050814744,1.0131188907899547,1482.5576126357344,13.852319559826988
92,0.9370032158386307,0.9918830663092855,0.9169662946793671,0.9011285181945623,0.9000420113996045,0.974250015745646,1460.5412274428968,13.507323871058354
93,0.9121854543752972,1.0851278386202237,1.0984055729755864,1.0969082438364302,1.0984809394065846,1.0369585290376522,1609.6726820032518,14.076705836937998
94,1.0356323678485964,0.9477923611951886,1.098595725066446,1.091576979929192,0.9002552033380892,0.9459260955415942,1511.9606672976274,14.084057883306304
95,1.0977384004323802,0.9729996676948736,1.097944466282884,1.099353839395678,1.071412546407986,1.0569038460804177,1573.8718998614581,14.344584485946285
96,1.087068907412946,1.0412308216137793,1.0988072181115074,1.0462463314593733,0.9038393337106297,1.0921052366575397,1539.3602383366515,13.803592194673593
97,0.9018331424537936,0.9503399378748348,1.0924182273679852,1.0456254636615705,0.9005035579253101,0.9007513734121285,1499.578493955285,14.07470836375938
98,0.9454657352785744,0.9198666085401899,0.9049046356644642,1.099584447742255,1.0916325656800256,0.9886170075033975,1338.9978161558822,12.591482921459614
99,0.9657622301750574,1.0524397884014929,0.9022743912102266,0.902682973915105,1.0892501114780142,1.0552258207636986,1075.5836759453332,11.362900187474557
100,1.0822216831224734,0.9707616794811844,0.9009951490531175,0.9874764014184406,0.9016558765100324,0.9436318766308391,1456.3931581671352,13.760677215073342
101,0.9371168448754816,1.0580988517557577,0.9081996696091311,1.0983827008338867,0.9001991647270242,0.994188128685449,1644.4534293217732,14.976452281016263
