family,run,episode,dt_dec,n_steps,n_bad_steps,hours_bad,n_tr,n_bad_tr,bad_tr_phase1,bad_tr_phase2,n_tr_phase1,n_tr_phase2,first_bad_h,final_P
dual_phase,dual_phase/seed3_7,3,5.111111111111111,1150,48,9.600000000000001,44,3,0,3,17,27,180.4,22.023274207110717
dual_phase,dual_phase/seed3_7,4,5.111111111111111,1150,87,17.400000000000002,44,6,5,1,17,27,60.400000000000006,23.754062708301188
dual_phase,dual_phase/seed3_7,5,5.111111111111111,1150,74,14.8,44,7,1,6,17,27,84.4,27.347168758170504
dual_phase,dual_phase/seed3_7,6,5.111111111111111,1150,613,122.60000000000001,44,25,2,23,17,27,80.2,6.681953373755091
dual_phase,dual_phase/seed3_7,7,5.111111111111111,1150,135,27.0,44,9,4,5,17,27,32.2,29.401238588715646
dual_phase,dual_phase/seed3_7,8,5.111111111111111,1150,31,6.2,44,2,0,2,17,27,160.20000000000002,29.739879810679568
dual_phase,dual_phase/seed3_7,9,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,27.48789158981988
dual_phase,dual_phase/seed4_1,0,5.111111111111111,1150,28,5.6000000000000005,44,3,1,2,17,27,40.400000000000006,23.75132484673291
dual_phase,dual_phase/seed4_1,1,5.111111111111111,1150,54,10.8,44,3,2,1,17,27,79.60000000000001,27.171956011972966
dual_phase,dual_phase/seed4_1,2,5.111111111111111,1150,4,0.8,44,1,0,1,17,27,201.60000000000002,23.00573792886549
dual_phase,dual_phase/seed4_1,3,5.111111111111111,1150,136,27.200000000000003,44,8,0,8,17,27,181.8,24.031562065250732
dual_phase,dual_phase/seed4_1,4,5.111111111111111,1150,11,2.2,44,2,0,2,17,27,180.4,27.168889245045907
dual_phase,dual_phase/seed4_1,5,5.111111111111111,1150,711,142.20000000000002,44,30,3,27,17,27,77.80000000000001,4.627193915139309
dual_phase,dual_phase/seed4_1,6,5.111111111111111,1150,102,20.400000000000002,44,5,0,5,17,27,207.8,27.03625698554054
dual_phase,dual_phase/seed4_1,7,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,27.08521751907346
dual_phase,dual_phase/seed4_1,8,5.111111111111111,1150,22,4.4,44,2,0,2,17,27,160.20000000000002,29.892049711601214
dual_phase,dual_phase/seed4_1,9,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,26.690012604750212
dual_phase,dual_phase/seed4_2,0,5.111111111111111,1150,28,5.6000000000000005,44,3,1,2,17,27,40.400000000000006,23.75132484673291
dual_phase,dual_phase/seed4_2,1,5.111111111111111,1150,54,10.8,44,3,2,1,17,27,79.60000000000001,27.171956011972966
dual_phase,dual_phase/seed4_2,2,5.111111111111111,1150,4,0.8,44,1,0,1,17,27,201.60000000000002,23.00573792886549
dual_phase,dual_phase/seed4_2,3,5.111111111111111,1150,136,27.200000000000003,44,8,0,8,17,27,181.8,24.031562065250732
dual_phase,dual_phase/seed4_2,4,5.111111111111111,1150,11,2.2,44,2,0,2,17,27,180.4,27.168889245045907
dual_phase,dual_phase/seed4_2,5,5.111111111111111,1150,802,160.4,44,31,4,27,17,27,69.60000000000001,3.5130147796231053
dual_phase,dual_phase/seed4_2,6,5.111111111111111,1150,104,20.8,44,5,0,5,17,27,207.4,29.199875102122895
dual_phase,dual_phase/seed4_2,7,5.111111111111111,1150,36,7.2,44,2,2,0,17,27,55.400000000000006,27.436123308347323
dual_phase,dual_phase/seed4_2,8,5.111111111111111,1150,25,5.0,44,2,0,2,17,27,160.20000000000002,29.73961081912074
dual_phase,dual_phase/seed4_2,9,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,25.717096371363336
dual_phase,dual_phase/seed4_4,0,5.111111111111111,1150,28,5.6000000000000005,44,3,1,2,17,27,40.400000000000006,23.75132484673291
dual_phase,dual_phase/seed4_4,1,5.111111111111111,1150,54,10.8,44,3,2,1,17,27,79.60000000000001,27.171956011972966
dual_phase,dual_phase/seed4_4,2,5.111111111111111,1150,4,0.8,44,1,0,1,17,27,201.60000000000002,23.00573792886549
dual_phase,dual_phase/seed4_4,3,5.111111111111111,1150,136,27.200000000000003,44,8,0,8,17,27,181.8,24.031562065250732
dual_phase,dual_phase/seed4_4,4,5.111111111111111,1150,11,2.2,44,2,0,2,17,27,180.4,27.168889245045907
dual_phase,dual_phase/seed4_4,5,5.111111111111111,1150,792,158.4,44,31,4,27,17,27,71.8,3.4552188763322897
dual_phase,dual_phase/seed4_4,6,5.111111111111111,1150,105,21.0,44,7,0,7,17,27,160.20000000000002,29.2872141138509
dual_phase,dual_phase/seed4_4,7,5.111111111111111,1150,4,0.8,44,1,1,0,17,27,56.6,27.89149474660784
dual_phase,dual_phase/seed4_4,8,5.111111111111111,1150,18,3.6,44,3,0,3,17,27,89.4,29.912301472908574
dual_phase,dual_phase/seed4_4,9,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,26.255268493115217
dual_phase,dual_phase/seed4_5,0,5.111111111111111,1150,28,5.6000000000000005,44,3,1,2,17,27,40.400000000000006,23.75132484673291
dual_phase,dual_phase/seed4_5,1,5.111111111111111,1150,54,10.8,44,3,2,1,17,27,79.60000000000001,27.171956011972966
dual_phase,dual_phase/seed4_5,2,5.111111111111111,1150,4,0.8,44,1,0,1,17,27,201.60000000000002,23.00573792886549
dual_phase,dual_phase/seed4_5,3,5.111111111111111,1150,136,27.200000000000003,44,8,0,8,17,27,181.8,24.031562065250732
dual_phase,dual_phase/seed4_5,4,5.111111111111111,1150,11,2.2,44,2,0,2,17,27,180.4,27.168889245045907
dual_phase,dual_phase/seed4_5,5,5.111111111111111,1150,805,161.0,44,31,4,27,17,27,69.2,3.4904535529448144
dual_phase,dual_phase/seed4_5,6,5.111111111111111,1150,110,22.0,44,8,1,7,17,27,60.400000000000006,28.62938711780666
dual_phase,dual_phase/seed4_5,7,5.111111111111111,1150,51,10.200000000000001,44,5,1,4,17,27,60.400000000000006,26.238458989582995
dual_phase,dual_phase/seed4_5,8,5.111111111111111,1150,91,18.2,44,7,1,6,17,27,86.60000000000001,28.595808686249853
dual_phase,dual_phase/seed4_5,9,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,27.172720293944625
dual_phase,dual_phase/seed7_1,0,5.111111111111111,1150,79,15.8,44,6,0,6,17,27,200.0,28.356248553388138
dual_phase,dual_phase/seed7_1,1,5.111111111111111,1150,3,0.6000000000000001,44,1,0,1,17,27,88.80000000000001,28.164378430923623
dual_phase,dual_phase/seed7_1,2,5.111111111111111,1150,7,1.4000000000000001,44,1,0,1,17,27,200.20000000000002,26.663519617943997
dual_phase,dual_phase/seed7_1,3,5.111111111111111,1150,38,7.6000000000000005,44,5,1,4,17,27,60.400000000000006,27.02102003071666
dual_phase,dual_phase/seed7_1,4,5.111111111111111,1150,82,16.400000000000002,44,6,0,6,17,27,200.4,24.653708117714928
dual_phase,dual_phase/seed7_1,5,5.111111111111111,1150,28,5.6000000000000005,44,2,1,1,17,27,85.0,29.20716204068134
dual_phase,dual_phase/seed7_1,6,5.111111111111111,1150,682,136.4,44,29,3,26,17,27,77.2,5.342509761101324
dual_phase,dual_phase/seed7_1,7,5.111111111111111,1150,104,20.8,44,6,2,4,17,27,79.2,25.719873035512318
dual_phase,dual_phase/seed7_1,8,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,27.76916420213273
dual_phase,dual_phase/seed7_1,9,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,28.964891727938646
dual_phase,dual_phase/seed7_2,0,5.111111111111111,1150,79,15.8,44,6,0,6,17,27,200.0,28.356248553388138
dual_phase,dual_phase/seed7_2,1,5.111111111111111,1150,3,0.6000000000000001,44,1,0,1,17,27,88.80000000000001,28.164378430923623
dual_phase,dual_phase/seed7_2,2,5.111111111111111,1150,7,1.4000000000000001,44,1,0,1,17,27,200.20000000000002,26.663519617943997
dual_phase,dual_phase/seed7_2,3,5.111111111111111,1150,38,7.6000000000000005,44,5,1,4,17,27,60.400000000000006,27.02102003071666
dual_phase,dual_phase/seed7_2,4,5.111111111111111,1150,82,16.400000000000002,44,6,0,6,17,27,200.4,24.653708117714928
dual_phase,dual_phase/seed7_2,5,5.111111111111111,1150,12,2.4000000000000004,44,2,1,1,17,27,87.80000000000001,29.50365377411261
dual_phase,dual_phase/seed7_2,6,5.111111111111111,1150,783,156.60000000000002,44,30,3,27,17,27,73.2,3.354182445576293
dual_phase,dual_phase/seed7_2,7,5.111111111111111,1150,71,14.200000000000001,44,5,2,3,17,27,78.60000000000001,26.45915448066171
dual_phase,dual_phase/seed7_2,8,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,26.75626864630486
dual_phase,dual_phase/seed7_2,9,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,28.859611582000877
dual_phase,dual_phase/seed8_1,0,5.111111111111111,1150,53,10.600000000000001,44,5,0,5,17,27,160.20000000000002,21.587636480292538
dual_phase,dual_phase/seed8_1,1,5.111111111111111,1150,26,5.2,44,1,0,1,17,27,161.4,26.78316564415268
dual_phase,dual_phase/seed8_1,2,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,27.87121463473008
dual_phase,dual_phase/seed8_1,3,5.111111111111111,1150,52,10.4,44,5,0,5,17,27,163.0,26.0303538561762
dual_phase,dual_phase/seed8_1,4,5.111111111111111,1150,53,10.600000000000001,44,5,0,5,17,27,160.4,22.849581324941298
dual_phase,dual_phase/seed8_1,5,5.111111111111111,1150,128,25.6,44,8,2,6,17,27,78.60000000000001,27.692081085805334
dual_phase,dual_phase/seed8_1,6,5.111111111111111,1150,49,9.8,44,7,1,6,17,27,87.60000000000001,28.113083464182917
dual_phase,dual_phase/seed8_1,7,5.111111111111111,1150,113,22.6,44,8,2,6,17,27,81.80000000000001,23.050276343147
dual_phase,dual_phase/seed8_1,8,5.111111111111111,1150,24,4.800000000000001,44,3,0,3,17,27,160.20000000000002,27.600737325649742
dual_phase,dual_phase/seed8_1,9,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,25.099071640985464
dual_phase_baseline,dual_phase_baseline/seed4_1,0,5.111111111111111,1150,16,3.2,44,1,0,1,17,27,210.20000000000002,22.783749185804588
dual_phase_baseline,dual_phase_baseline/seed4_1,1,5.111111111111111,1150,3,0.6000000000000001,44,1,0,1,17,27,195.4,26.770086495743037
dual_phase_baseline,dual_phase_baseline/seed4_1,2,5.111111111111111,1150,24,4.800000000000001,44,3,2,1,17,27,40.6,23.357683212080694
dual_phase_baseline,dual_phase_baseline/seed4_1,3,5.111111111111111,1150,195,39.0,44,10,0,10,17,27,160.4,23.105658046668427
dual_phase_baseline,dual_phase_baseline/seed4_1,4,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,26.47767525425661
dual_phase_baseline,dual_phase_baseline/seed4_1,5,5.111111111111111,1150,793,158.60000000000002,44,31,4,27,17,27,71.60000000000001,3.716401445606919
dual_phase_baseline,dual_phase_baseline/seed4_1,6,5.111111111111111,1150,105,21.0,44,5,0,5,17,27,207.0,28.231509567841737
dual_phase_baseline,dual_phase_baseline/seed4_1,7,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,26.95615426478431
dual_phase_baseline,dual_phase_baseline/seed4_1,8,5.111111111111111,1150,16,3.2,44,3,1,2,17,27,86.0,28.542499941665692
dual_phase_baseline,dual_phase_baseline/seed4_1,9,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,23.761571895576658
dual_phase_baseline,dual_phase_baseline/seed4_1,10,5.111111111111111,1150,1,0.2,44,1,0,1,17,27,213.20000000000002,25.41211883556008
dual_phase_baseline,dual_phase_baseline/seed4_1,11,5.111111111111111,1150,107,21.400000000000002,44,5,0,5,17,27,200.0,29.301813293057194
