model,cost,arch,time_in_gp,pivot_type,protocol,train_seed,eval_seed,delay_h,yield_kg,yield_gated,delta_vs_recipe,delta_gated,recipe_yield_kg,final_P,max_viscosity,visc_exceed,max_Wt,wt_overflow,violation,paa_frac_out_of_band,pivot_h
SP +time,ConcCost,single,+time,-,5 expl,4,700007,40.0,3410.2073175940636,3410.2073175940636,497.9733275559306,497.9733275559306,2912.233990038133,26.709006028719937,74.12221684199432,False,103840.24615025244,False,0,0.0,90.0
SP -time,ConcCost,single,-time,-,5 expl,4,700007,40.0,3361.5372409505835,3361.5372409505835,449.3032509124505,449.3032509124505,2912.233990038133,26.46211721427083,75.05485453616451,False,102728.24867951187,False,0,0.0,85.0
SP +time,ConcCost,single,+time,-,5 expl,4,700008,40.0,3381.6571835752593,3381.6571835752593,456.2946180938411,456.2946180938411,2925.362565481418,26.08225524248949,70.23436745432336,False,106098.2294786409,False,0,0.0243478260869565,95.0
SP -time,ConcCost,single,-time,-,5 expl,4,700008,40.0,3336.712335015178,3336.712335015178,411.3497695337596,411.3497695337596,2925.362565481418,25.782767019388416,71.22500309639621,False,105280.75145056756,False,0,0.0243478260869565,90.0
SP +time,ConcCost,single,+time,-,5 expl,4,700009,40.0,3484.2216471548627,3484.2216471548627,491.348144833868,491.348144833868,2992.8735023209947,26.74122400751464,72.5131327863257,False,107338.1948018074,False,0,0.0104347826086956,95.0
SP -time,ConcCost,single,-time,-,5 expl,4,700009,40.0,3431.748616409631,3431.748616409631,438.8751140886361,438.8751140886361,2992.8735023209947,26.487826102673907,72.69800339223502,False,105945.91954216688,False,0,0.0104347826086956,90.0
SP +time,ConcCost,single,+time,-,5 expl,4,700000,60.0,3226.0583822752565,3226.0583822752565,429.62825178507364,429.62825178507364,2796.430130490183,26.89476103866874,74.41821518058764,False,100114.71747170188,False,0,0.0121739130434782,100.0
SP -time,ConcCost,single,-time,-,5 expl,4,700000,60.0,3244.4125183335545,3244.4125183335545,447.9823878433717,447.9823878433717,2796.430130490183,27.028951426250547,75.48519561509163,False,99912.4222216255,False,0,0.0113043478260869,95.0
SP +time,ConcCost,single,+time,-,5 expl,4,700001,60.0,3508.69204255249,3508.69204255249,473.70165302987834,473.70165302987834,3034.9903895226116,28.615191393788045,69.23286554335684,False,104426.05160315549,False,0,0.0191304347826086,115.0
SP -time,ConcCost,single,-time,-,5 expl,4,700001,60.0,3532.245027774503,3532.245027774503,497.25463825189127,497.25463825189127,3034.9903895226116,28.79333592266252,69.329923987388,False,104008.3250889568,False,0,0.0191304347826086,110.0
SP +time,ConcCost,single,+time,-,5 expl,4,700002,60.0,2778.8800846443833,2778.8800846443833,-293.4995370643069,-293.4995370643069,3072.37962170869,21.527710583443735,88.4338240027176,False,96422.1156572113,False,0,0.0,95.0
SP -time,ConcCost,single,-time,-,5 expl,4,700002,60.0,3081.502407286994,3081.502407286994,9.122785578304047,9.122785578304047,3072.37962170869,25.20853497364191,85.7011324407224,False,95571.7456821498,False,0,0.0,90.0
SP +time,ConcCost,single,+time,-,5 expl,4,700003,60.0,3349.7134238390877,3349.7134238390877,470.7418349121872,470.7418349121872,2878.9715889269005,27.227909541296928,73.52144094765286,False,103202.445300224,False,0,0.0217391304347826,110.0
SP -time,ConcCost,single,-time,-,5 expl,4,700003,60.0,3342.9456454353194,3342.9456454353194,463.9740565084189,463.9740565084189,2878.9715889269005,27.226241243921905,73.71131938523529,False,102454.59270990096,False,0,0.0208695652173913,100.0
SP +time,ConcCost,single,+time,-,5 expl,4,700004,60.0,2916.7070077834924,2916.7070077834924,340.76195446928705,340.76195446928705,2575.9450533142053,23.79733741189549,68.8405863934971,False,100975.82387966572,False,0,0.0243478260869565,100.0
SP -time,ConcCost,single,-time,-,5 expl,4,700004,60.0,2943.6105042788276,2943.6105042788276,367.6654509646223,367.6654509646223,2575.9450533142053,24.003520548585033,70.48507423088829,False,100868.0445888875,False,0,0.0243478260869565,95.0
SP +time,ConcCost,single,+time,-,5 expl,4,700005,60.0,3503.8665095657866,3503.8665095657866,169.43825038033538,169.43825038033538,3334.428259185451,28.605459883183364,81.7771730124338,False,99811.97637391309,False,0,0.0,95.0
