batch,yield,final_penicillin_conc,max_penicillin_conc,mean_penicillin_conc,final_volume,mean_pH,mean_temperature,final_biomass,max_biomass,mean_biomass,final_weight,max_weight,mean_weight,max_viscosity,mean_viscosity,visc_soft_violation,visc_collapse,wt_soft_violation,wt_collapse,collapsed
85,3215.003847653392,25.304023398920503,25.304023398920503,12.700982431207436,91188.05023802772,6.495244344178216,297.98140787010857,20.09229496607419,22.035696119301843,17.530671922412203,100759.91801527354,103115.27115573203,88914.28143558044,78.49775191652257,48.00419940508494,False,False,False,False,False
86,3611.7727691381565,28.216955033084286,28.216955033084286,14.96185357147296,90779.54034864166,6.498095200701116,298.01268580724144,19.81983094314614,22.329325918709035,18.205033156600965,99252.0109814601,100802.04991788453,86978.73200088367,80.12929567266896,49.53285289119141,True,False,False,False,False
87,3799.7642070412335,30.78755686782482,30.78755686782482,15.80211245518284,87373.15179248109,6.498908309768956,298.0205750645964,22.026948304405618,23.984600774921493,19.18634835362823,97732.0947970196,100458.03048830987,86980.25296290475,82.73263430732362,51.107917904887266,True,False,False,False,False
88,4109.246751242192,33.68562315348636,33.68562315348636,16.518987304674027,86945.49898302146,6.499158172943174,298.74173180922867,23.293208166073004,25.234347820053944,19.301047323864445,96520.16442421982,100562.83698511336,86650.41643872032,83.39750538552461,51.06816982405095,True,False,False,False,False
89,3602.2653169531027,28.499595509583735,28.499595509583735,14.812259363285749,89579.58237809924,6.498934733339313,297.99065439941455,20.927743158472328,23.457240177218168,18.46721166289649,98985.6070344466,101233.29762170662,87656.23878871203,81.28743935060331,49.536837357051894,True,False,False,False,False
90,3955.0457373680983,32.00085779810942,32.00085779810942,16.14513104013488,87878.50463935579,6.498863956171864,298.0119108374167,21.594228165940173,23.245613652447922,18.605838457030494,97643.21287115473,101012.14427074241,86879.98195215486,80.67684517567255,50.0662687903937,True,False,False,False,False
91,3060.1293347783217,22.770478585591906,22.770478585591906,13.326413477918553,94128.95170389925,6.493410754011694,298.04108262172076,18.60649865873169,22.766223568715574,18.39365020697295,103098.20740878703,103098.20740878703,87668.0174443989,80.51728111507717,49.91712687894466,True,False,False,False,False
92,3676.199844952341,29.23981318924967,29.23981318924967,15.049367613750515,89295.65198815156,6.497420866555571,298.0054862574303,20.61069805726433,23.04329243118599,18.52883463613063,98051.62244263112,100169.35226848016,86465.69168208726,81.1786119517054,49.72285279077858,True,False,False,False,False
93,3309.5530820100917,25.800849237806137,25.800849237806137,14.013221828903163,90379.32807679419,6.4973178862244545,297.99279552797805,19.743612087541585,22.223367473785107,18.308262532332613,100116.09547676344,101596.14757800491,87435.03451047254,79.67441241774114,49.575026970680796,False,False,False,False,False
94,3427.360387330502,26.866614336857793,26.866614336857793,14.053418459588238,90629.73059640627,6.497945061798702,297.99228365454786,20.029255088506815,22.530291464295587,17.92244441529335,100289.45704069397,102112.25903980763,88213.92317129142,79.77183004120319,48.859370605672744,False,False,False,False,False
95,3356.172254250634,25.671817551489884,25.671817551489884,14.118209019476145,92044.40922328508,6.498271054561636,298.0054841435613,19.41919057287518,23.171371853139746,18.219607619158133,100599.06720489211,100599.06720489211,87241.6995646992,80.59051939472025,49.36184348656714,True,False,False,False,False
96,3480.6944611784406,27.51732455033455,27.51732455033455,14.212695092330113,89848.74061596896,6.497023822333567,297.98446887435546,20.387359322821787,22.812037968603875,18.1873301835351,98865.77933076822,100853.56030106873,87063.66098034181,80.11773612580282,48.946928047532516,True,False,False,False,False
97,3411.6938041444137,27.019148290322804,27.019148290322804,14.104986761662314,88838.92459537722,6.498482721868653,298.0073053368868,21.58476304302891,25.06403568979574,19.179429960290914,98643.72132699705,100651.69773304483,87242.6227413315,84.23895951688422,50.91305043383077,True,False,False,False,False
98,3564.987728898847,28.20038709663045,28.20038709663045,14.116818501329163,90511.40147969888,6.497026456972575,297.97959550688483,20.21997031986628,22.335938532428788,17.81634710917641,99329.29736491031,101852.86118430822,87613.22107106645,79.22115307965609,48.45574445064437,False,False,False,False,False
99,3971.512560262387,32.031976005622845,32.031976005622845,16.796915799440338,86950.28872829949,6.499182476381712,298.034305311807,21.892113877187704,24.6459536256526,19.468503461104284,97154.45736675113,99919.82215120028,86351.94400254454,84.26458036001709,51.817976676370584,True,False,False,False,False
